列1;列2
西邮寄筋斗云精品快线钻石VIP价格表 （500-799单）;Logistic Partner Price for us
;
Weight (KG);Price (€)
0,50;4,25
1,00;5,5
1,50;6,75
2,00;8
2,50;9,25
3,00;10,5
3,50;11,75
4,00;13
4,50;14,25
5,00;15,5
5,50;16,75
6,00;18
6,50;19,5
7,00;21
7,50;22,25
8,00;23,5
8,50;24,75
9,00;26
9,50;27,25
10,00;28,5
10,50;29,25
11,00;30
11,50;31,25
12,00;32,5
12,50;33,75
13,00;35
13,50;35,75
14,00;36,5
14,50;37,25
15,00;38
15,50;39,25
16,00;40,5
16,50;41,75
17,00;43
17,50;43,75
18,00;44,5
18,50;45,75
19,00;47
19,50;47,75
20,00;48,5